,textID,text,selected_text,sentiment
362,b94aaf845e,Please Review Sunehre Ad Placement  http://tinyurl.com/oow6mk,Please Re,positive
366,b751f39570," yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha","yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   ha",neutral
382,38e44e0f32,  This has made my night!!  Way too funny!!,This has made my night!!  Way too funny!,positive
396,bba9d463f4,Laying ALONE!! Since Mook`s soo comfy in his f`n play pen. I thought it was ill at first now I don`t have no one to cuddle with...,I don`t have no one to cuddle with..,negative
398,ebc8565a98," nothing aimed at you, just joining in...sorry",.sorry,negative
406,2c80b2043e, Have a good one,Have a good on,positive
410,41f4eb92b9,[-O] i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.. http://tinyurl.com/p6lfch,i wish the birthday massacre would come to australia  i think they said they`re thinking about it tho.,neutral
425,b53d8f2b09," Si, no bueno  I guess I just don`t entertain him :/",s I just don`t entertain him :/,negative
458,88d8e96213,   Wow what a beautiful picture... and by the way....I am straight....just wanted to let you know!!!     Bella,Wow what a beautiful pictur,positive
482,51c2d21362,Here`s a brief preview: http://bit.ly/eHCfP   OMG James is creepy in that role! I`m scared of him,! I`m scared of him,negative
492,ee9df322d1,"   Sorry, we`ll try to keep it down.",Sorr,negative
498,060d8bb5d5," actually, I wish I was back in Tahoe.  I miss it there.",I miss it there,negative
500,18f60b8879, but my bday is JUNE 19.. this is wack... and ihavent seen any promotions for my bday party  someone better finagle this asap!,wack.,negative
504,726e099885, but it all went too quick and there wasn`t a chance lol,d there wasn`t a chance,negative
513,72cfb17265," 'organization ...ITIL, forget about people (and so they fail)' preaching to the converted  IT is the people http://tr.im/kWUA",fail),negative
517,fa1385e537, He says he feels mama tucking him in at night  He`s lonely but getting by. Tomorrow will be tough!,. Tomorrow will be tough!,negative
533,781d900e89, Beto`s Pizzeria is on Banksville Rd in I believe the Beachview area... Sorry to answer like 100 years later,. Sorry,negative
537,8e26c8c6e8,I`m sick and sad .... missing out on Martini Lounge tonight,sick and sad ..,negative
542,cf0e868f70, I feel for you  I hope it`s a smooth flight. Be safe! Mucho amor from Boston!,I feel for you  I hope it`s a smooth flight. Be safe,positive
543,82215b50d4,Can`t sleep...so I`m watching HGTV. I`m afraid infomercials are about to take over,Can`t sleep..,negative
569,03f9f6f798,"I don`t think I`ve ever been so tierd in my life.Ugh,goodnight.So sleeping in tomorrow",I don`t think I`ve ever been so tierd in my life.U,negative
573,bc879a25b0,.....headache,headache,negative
581,1fce3e2d7b, no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYOU.,no bueno.  hollykins needs to feel better asap.  p.s. i miss you.  you done with uni soon aren`t you?  SOPROUDOFYO,neutral
604,15f47296e2,Sooo.....I`m kinda o sick n tired of the bs that guys dish out  !!!!!!!!,I`m kinda o sick n tired,negative
605,eba1f29fb0, boo... i was hoping for a fake alien story with a tinfoil covered beachball photo,boo.,negative
608,e5b5debcdc, .. .great.. you can buy me lunch when i get my 10-15% pay cut next month..,.great.,positive
636,fcfa10681f,first day of summer sucks!!!! its overcast and cold...  this isn`t summer!?!?!?!?,sucks!!,negative
637,b04bbb81c9,   Hi to one kiwi artist from another kiwi artist,Hi to one kiwi artist from another kiwi artis,neutral
639,289317384e, oooo ok   why  havent you accepted my friends request,oooo ok   why  havent you accepted my friends reque,neutral
642,ea25722a23,_michele thanks for that...am now following them...love good causes,love good causes,positive
665,3f54e1d2cb," ...i`m sorry about you are still sick  u know most of them, AND i know that u will guess the 'pelzer present' ;-)",.i`m sorry,negative
670,4f0ab06d15," aah. well, have a few friends over there. Just wondering if all`s great and weather`s been good...",good.,positive
674,2209fb4785,  That was stone cold   Crazy....  ?,That was stone cold   Crazy.,negative
678,b36197ce92,Crisis: forgot my fringe comb  I`m with men....no one will help me,.no one will help me,negative
685,5bae99f344,"Didn`t get bitten by a rabies infested person last night  yay for me! Gonna scare Rachel with Quarantine tonight, this shall be fun","! Gonna scare Rachel with Quarantine tonight, this shall be fun",neutral
702,a1847c4311," ah, ok  thank youuuuuu!",k  thank,positive
707,c7bd31ba90, SherriEShepherd gave the link for  http://www.brentozar.com/twitter. He gives Twitter tips. Hope this helps,. He gives Twitter tips. Hope this helps,positive
709,48096285e5,  Yeah I`m okay been icing and ace bandage and sitting on my **** on twitter... LOL Thanks,... LOL Than,positive
710,4c55586b72, you`re so gorgeous!!,gorgeous!,positive
727,24f090ea3d, the exact one i was thinking of  the bestttt.,e bestttt,positive
737,0bc2e46e4e,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,. I hope Avalina isn`t a dud!,negative
746,f93c297e3a,"am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!!  ****","am chillaxin after a busy BankHoliday, Hope everbody had a gd wkend! Holiday in 12 days!!",positive
751,c0f58575bf, i want to experience snow  we don`t have snow here and it sucks,t sucks,negative
757,8a8c28f5ba, Thanks Amy!  That video is so awesome!  Did you see TMH?  He`s amazing in that too!! Bouncy Bouncy Bouncy!!!,e`s amazi,positive
768,49e24a4501,nooooo its raining......had 2 leave the beach,nooooo its raining..,negative
778,5dbe4cae20, awww hes too cute!!wish i could`ve gone,cute!,positive
787,13a9406926, flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit though!,flew Brisbane - Lax today.  Great flight.  Love the lights.  Shame about one drink limit thoug,neutral
794,6d57e5fcb0,_KittyKat hello new follower  haha!! how are ya?,haha!,positive
804,ea4429b35a,"  Hi, Thx for following  I teach some Chinese lessons on youtube, pls feel free to have a look www.youtube.com/ChineseLearn",", Thx",positive
809,31fa81e0ae,"  Yes, you should go see Star Trek!  It`s sooooo much fun!",ch fu,positive
846,020a2d26ec, I miss u guys too  I prob won`t b bk til august sumtime... But if I come bk anytime b4 then ill 4 sure let u kno!,I miss u guys too  I prob won`t b bk til august sumtime,positive
853,e9785cbd8c,i would slip and fall... on the dirty school bathroom floor. fml.,i would slip and fall..,negative
854,2617b9c9e3,Just got confirmed that itï¿½s pizza-time with some ex co-workers on friday...looking forward to it,looking forward to it,positive
856,3bfc997081, ugggh idk how to do that  but i only wanna stop getting texts from twitterr  -ilsE*,a stop,negative
863,19d585c61b,"My poor heather, she didnt make the cheerleading squad. Im sorry babygirl. Maybe next year",sorry ba,negative
866,77338f26c5,i jus love doin night shifts...will be done in an hour,i jus love doin night shifts...,positive
871,f2737e9c15, Oh no!! I hope it`s not bad,s not bad,positive
872,f62706f76e, awesome..am headin there that nite after my grad dinner  c u then boi! hehe,awesome.,positive
900,1f40da44dc, Thanks man.  That sorted it. I only ever remember 222.222,Thanks man.  That sorted it,positive
912,249bd1fcea, Do a tour in the Philippines sometime.  A lot of fans here would really love that!,d really love that!,positive
931,568ad4a905,Happy Star Wars Day ...  'May the 4th be with you'.... read http://tinyurl.com/axsujx for more ;),Happy St,positive
937,ab75d13082, http://twitpic.com/4qpzx - i love you guys  you`re the best,s  you`re the best,positive
942,f0e3079931,"_babe woo! im getting mine on monday,cant wait  x",cant wait,positive
950,55f2673e6b, Well thatï¿½s disappointing to hear.,s disappointing,negative
956,8ac49207e1," (cont) a bastardized version of French? It`s fun, believe me!","s fun,",positive
957,c400a6bf99," alas, I am moving   (like where i`m moving too, but the actual moving, ugh) wish I could go too!",h) wish I could go too,positive
963,e0ef3a78fc,mad the rain got me...now i cant go see jaiden   *|)|/-\|\|/-\*,mad the rain got me..,negative
992,5a7c51d790, someone came in when I was sleeping off my national passtime and turned me human,d turned me human,positive
993,e5909bf38b, I see you didn`t shave your head. But I *LOVE* the cut.  I`m glad you didn`t shave it. Your hair`s too pretty!,m glad,positive
999,6d2170e60f," I`ve been unlocked for decades now...just not lucky, never have been.  Gottta make my own luck and that involves $$$$$",".just not lucky, never have been.",negative
1001,5eb0846f97,homework on a friday night...lame,lame,negative
1011,b7797a8477, I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,positive
1012,e387419315,Think I`ll go enjoy the sun`s rays again...I LOVE being off work,I LOVE being off work,positive
1036,3e49b93467," Awww. Don`t mean to sound like an overgrown age 37 baby, but I`m still stick. Not as bad as yesterday, but still bad.",t I`m still stick.,negative
1039,3d1318d372, there coming this year ^-^  wiL said it himself  but yes now would be good.,ut yes now would be good,positive
1057,b8d2a9667c, oh dear.. u serious? so how does one prevent bites??  I`m so itchy its distracting while editing.. *sigh*,o itchy,negative
1060,d632d916e1,"Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjdjc","Omnomnom    JUST came online to 69 unread emails, as well as my backlog from yesterday  http://tinyurl.com/lxjd",neutral
1062,7048b3a9c0," Nako! Umuulan pa naman!  Anyway, enjoy the bike rides!",", enjoy",positive
1072,5b34c6a158," no, i do better with people i don`t know   you`re going to chiodos tonight, right? just kill something for me.","no, i do better with people i don`t know   you`re going to chiodos tonight, right? just kill something for me",neutral
1073,20951ebfde, While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it!,While im stuck INSIDE in Elk Grove Village working all day   Someone should enjoy it,neutral
1076,7a3840a246,Don`t follow your dreams; chase them.- Richard Dumb (who I think is very smart,who I think is very smart,positive
1077,3d5c1ed21b, Up is out?  I didn`t get the memo   It looks amazing.,o   It looks amazi,positive
1083,e9c337f756,@_TWEE haha thanks to you that`s my new word for the week! ****,thanks to you th,positive
1096,14c67c535b, Depends on what they want for it....I`ve become poor again,.I`ve become poor again,negative
1105,5419aaf31e,Packing up and leaving inlaws house heading home sweet home... Had a nice weekend and back to work in a few hours,nice we,positive
1116,c31e69a36d, What??  Nooooooooo      There goes my weekend!,What??  Nooooooooo      There goes my week,neutral
1117,894782cf8a,Good days with good friends make me not regret living,Good days with good friends ma,positive
1122,902c42e338, Yes...met Jon last yr at an interesting 'Questionning Agile' Agile 2008 session.  Don`t see him on this yr`s schedule.,n interesting,positive
1134,0e533abdae, That is super sad   How is Bart etc holding up?,s super sad,negative
1137,ddcc9dee12, I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!!,I am jealous...Ur koi fish are getting ur attention & I`m not.....lmao   I`m kidding!,neutral
1150,aa189955b1,  BUT THEY ARE EXPENSIVE.,E EXPENSIVE,negative
1157,73e3150187," I know, i know...  -hugs-",-hugs,positive
1159,62086f9961,is sad that she is not seeing Basshunter at Metroplex this weekend,is sad th,negative
1181,66d02b456b,  awesome! All deserved I`m sure. Miss the Crabs games,awesome,positive
1192,1722cd3459,  I`m SO jealous! I don`t know when I`ll be able to see Conan.,I`m SO jealous,negative
1199,bc361e245e, Aw...poor thing.,..poor thing.,negative
1200,968964a722, hahahah of course  they have such a nasty display picture :`),e such a nasty display picture,negative
1209,7ad9625924,Went and saw Fighting last night with the best friend. It wasn`t all that great but Channing Tatum is amazing!,. It wasn`t all that great but Channing Tatum is amazing!,neutral
1217,db75031d55, I can remember those Evidence Based Management lectures...definitely the best of EBM,..definitely the best of EBM,positive
1245,82ec1b47c4," yes super lakas ng ulan. buti nalang i have a red bandana, body ko lang ang wet look  hahah!",hahah,positive
1264,9280023aec,_ray Bright Eyes=Contentment,Contentment,positive
1271,024b8d4b95, hahah! sadly there is no current activity though in the room,! sadly,negative
1280,adac9ee2e1," I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good.",so goo,positive
1283,3090200836," You are totally welcome to come hang out on my wiki  Do it, do it!",e totally welcome,positive
1298,094218c2e7,in about half a hour i`m going to my english lesson...guess i`ll have to wait...and wait for a couple hours so i`m over with it.(( :S   )),i`ll have to wait..,negative
1300,1ef247a527," hahahaha. im listening to my iTunes library, a bit of Sonia Dada atm,  ITs good",s good,positive
1303,915c66ead8,acsvxdcbgfn soccer now. shall see young phoebe after D: I don`t want her dressed up though,I don`t want her dressed up th,negative
1319,bc84f21e3b,ShoesShoesShoes.YayYayYay.lol.IWouldPostATwitPic.ButIdntKnoHow2,ShoesShoesShoes.YayYayYay.lol.I,positive
1327,015a057c59,  it might be the swine flu! haha `cause i`ve got the flu,e swine flu,negative
1342,8114133dba,its so nice.. I LUV KELLY...she`s such an amazing singer  LUV HER,she`s such an amazing singer,positive
1360,4d967b142e, Just saw you on TV for the Best Job in the World. Good luck.,r the Best Job in the World. Good luck.,positive
1363,4eec486ad7," hey i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing there","y i loved ACS but i had to see it online, is not here yet   cant wait to buy it!!! you look amazing ther",positive
1365,1e7784540e," I can understand, pains been part of my life for a long time now  I hope you feel a bit better soon.",", pains been part of my life for a long time now  I hope you feel a bit better soon.",neutral
1372,d9d12cf0ce, I always feel guilty about it,s feel guilty,negative
1374,032d67ca83,  ROFLMAO for the funny web portal  =D,e funny,positive
1376,eadba04b8a,  that would mean me babe! but **** it my name  is SUPER FREAKIN COOL! I give myself a pass! HA!,IN COO,positive
1382,9511a73ba5,She doesn`t believe spending many (many) thousands on a perfect wedding makes a happy couple.....A happy couple makes a perfect wedding,happy couple.,positive
1393,c31e5697e5, her son is 7 and captured it outside...THANK GOD I HAVE A LITTLE GIRL,.THANK GOD,positive
1406,919c02e1d9,Sob! I can`t believe I`m ending my work week at the chapter about what Augusten Burrough`s father did to Ernie the guinea pig!,I can`t believe I`,negative
1416,69b4cc5d84,am bored out of my skull.  i have got to get a job.  this SUCKS.  i need entertainment. /grumbles,.  this SUCKS,negative
1417,4d8867a66a,  Cool...a VERY productive day! I just got a spot as an extra in a feature film that is filming tomorrow  AWESOME week all around!,w  AWESOME week all around,positive
1420,6e675117b8, Me too   haha I did but have no credit,Me too   haha I did but have no credi,neutral
1447,2b6bd43b14, oh ok. Well good for you...can I get some weather updates instead??  jk.,l good for you.,positive
1454,2f8e80a88d,@_Glitter_  kk but 4 sum reason its not lettin me vote 4 them,s not lettin me vote 4 them,negative
1468,a967eda205,Weekends are Great....if you don`t have to work them.,Great..,positive
1472,699c07b35c, ****. it should be recoverable. it`s just the boot part that`s messed up. grr argh. my business was on there.,. it should be recoverable.,negative
1513,1fbce7ad49, you and  are both baitersss  hope tonight is fun!,s  hope tonight is fun,positive
1515,55c7927962,"  you can have  ice cream, I`ll have  kiss.","you can have  ice cream, I`ll have  kis",neutral
1518,cfc8ece057, haha IE...it`s expensive!!!! Hm...let me message you later,.it`s expensive!,negative
1531,a0ee798944,Waiting to go to bed. Had a great weekend,great we,positive
1548,9b5db85d83, had  a little family party tonight   hope it rocked,t   hope it rock,positive
1558,20578c75d8," that truely is sad news to hear  we are all created equal, so sad to know our neighbors are such prejudice people",", so sad",negative
1567,bac324b47f, oh ... you`ve been superseeded?  not good enough,?  not good enough,negative
1580,8a159382ea,Just woke up. Gonna have a shower and go to Nan`s for Mother`s day lunch. Happy Mother`s day,Happy Mo,positive
1588,a7f72a928a, WOOOOOOOOOO   are you coming to Nottingham at any point?  lovelovelove<3,t?  lovelovelove,positive
1600,99b75adc3b,Yes... today is Star Wars Day!    May the 4th be with you!,May the 4th be with you,positive
1605,b4202309d4,"  Is competition around the corner? if not take it slow for at least a week. Twisted my ankle back in jc, awfully painful.",", awfully",negative
1623,2dc0b560b5, copy & paste **** **** tosser piss flap a 10000000000 times !!!!,copy & paste **** **** tosser piss flap a 10000000000 times !!!,negative
1648,5bd5c7e22f,"You make me happy, whether you know it or not  <3","You make me happy, wh",positive
1649,8f74c4f71c, that sucks!!,sucks!,negative
1657,cb349bae1a,im still melting and im in the house in the shade  its not fair.,m still melting and im in the house in the shade  its not fair.,negative
1659,6603cfbf34, right..  making compromises is what kills us!,t kills,negative
1661,90fb34189c,"is back from the park and is very sunburnt  cant wait 4  2night,and is gonna get smashed..bein sober jst wnt b as fun!",..bein sober jst wnt b as fun!,negative
1665,2c60434fea, RE: Hulu Desktop in Windows 7 Media Center  http://bit.ly/DEc64but not on extenders unfortunately,s unfortunately,negative
1671,1880b5ce09, awwww..... thought it`d be a 'yummy' experience.  Will try it next time. Kapag magkakasama ulet tayo nila Mapet ;-),awwww..... thought it`d be a 'yummy' experience.  Will try it next time,positive
1672,2f3f9a83c2, I need to do some more post but I don`t have time on this tour  ........... Apologies to all my supporters.,. Apologies to all my supporters.,negative
1673,42b29b0a20," Um yeah ... role model for your peers you may not be.   But, I know you will be for your little one, so chin up.","Um yeah ... role model for your peers you may not be.   But, I know you will be for your little one, so chin up",neutral
1674,f03ce00d60, whooop! you got me on twitter!!  dang our line of communication keeps growing!,s growing,positive
1678,05832fb2c4,did you kno that  is amazing  and i`ve known him since he got twitter and his most tweeted words are `know` `haha` `****`..,s amazing,positive
1683,21dc26e9a8," I have heard that about a lot of programs like that, we go to a large chain of learning centers, sorry for you!",", sorry",negative
1693,d5243a3989,"14 pages left to read, then it will be time to start all over again, and again.  Off to Lunch Duty...love 6th graders",.love 6th graders,positive
1696,6dbdb64223, _face  and nana.wish i was there last night,a.wish,positive
1701,cb4902da0a, yeah the tomato paste and oil is traditional on a sandwich.. eat it with some olives and maltese cheese  yum!,yum,positive
1713,f28b43561c,is on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,s on twitter for the second day running. This is what study leave does to me! If only my car were in one piece,negative
1723,afe152340b,Ow... My shoulder muscle (I can`t remember the name :p) hurts... What did I do?  I don`t even know,hurts..,negative
1728,795de6c2f5, ooh ouch!   lovely weather but ****! cover up sugar! x,lovel,positive
1732,d376f3c7be,"okay, need to hit the sack.  i gotta wake up in like 5 hours   goodnight everyone!",goodnight everyone,positive
1739,434af71088,Very bad things.......I need to stop thinking!,Very bad things..,negative
1747,0a4f813af2,  no water park today? made me jealous looking at that pic,? made me jealous,negative
1754,4ff8b3efb4, I can`t  has blocked me.  I can`t even request,I can`t  has blocked me.  I can`t even reques,negative
1758,f9147427db, that David -- nice to know he feels so comfortable 'twitting' or 'tweeting' us.   I have a feeling he misses home.,nice to know he feels so comfortable 'twitting' or 'tweeting' us.   I have a feeling he misses home,neutral
1798,c4ffb519a5,I don`t feel any pressure right now...    Happy Mother`s Day people...,Happ,positive
1806,c2bdf76265,just got back from my exam... im surely gonna fail...now trying 2 get tickets 4 il divo! someone doesnt want us 2b there!!!,fail..,negative
1808,8ba644c9bd, The devil you say!  I`ve been waiting for the Black Widow in movies and now she won`t be awesome at all.,w she won`t be awesome at all,negative
1814,39b506870b, In two months i will have something of the kinf of prom  and i`m really excited! and you haven`t any contact to her?,d i`m really excited,positive
1822,b65c7688ce,thursday night was amazing taylor swift gave me one of her braclets,thursday night was amazing ta,positive
1828,a52a462bef,I cant to sleep and tomorrow i must wake up too early,I cant to sleep an,negative
1830,43720cae34, physics  the most boring class ever!,t boring,negative
1835,7a6c1bcb7d,i`m a little sad that school ended today i`m moving so i`m going to miss all my new friends from this year.    just got a hair cut,little sad th,negative
1850,8b25e05dff,I hate waiting in lines,I hate wa,negative
1857,4ed5a11b8e, Cheers!  I`d like to thank zBrush for making it all possible,o thank,positive
1860,40d8340387," I gotta say, I feel bad for everyone in NKorea.  They`re starving, and they have a crazy in charge who endangers them daily.",", I feel bad for everyone in NKorea.",negative
1866,880efa1bec, I listen it right now - so much fun!!!  No I just have to get it somehow,so much fun!!,positive
1872,59a28d3596, Sorry for your loss.  I know how you feel.  She or he was a lucky cat.,Sorry for your loss.  I know how you feel.  She or he was a lucky cat,positive
1877,300997aaeb,Still soo tired..not ready to get up for the day...work again,Still soo tired..,negative
1888,5d0aff483b, @_Mintyfresh Thanks very much!!,Thanks very much!,positive
1901,01297393b5, oh gaha no of course i wasn`t offended why would i be?  i`d love to play for you some day,d love,positive
1902,824186c80e,Fighting a migraine   Medication is almost working.,s almost working.,positive
1929,4246aba5de,morrrning. time for school. (: time to learn!,morrrning. time for school. (: ti,positive
1938,fb06c8e8ef," KH is the only thing I`ll be a weeaboo about.  I still prefer it in English but I`m impatient, haha",m impatient,negative
1940,bf445ae759, that sounds awesome..,awesome.,positive
1959,9f61b74d16,Something strange in the air lately. Been setting everyone on edge. Going to do a good smudging of the house. Good to do those anyway,good sm,positive
1985,4bf8205ece, hey!  sorry for the late reply.but i do plan on posting on both facebook and twitpic.,sorry for the late reply,negative
1987,4d9e3851b0,  #followfriday thank you!  I`m still not even close to what I had as ,y thank you!,positive
1994,6584036615,Why are the sinks in hospital toilets so low? Now the **** of my grey suit is spattered with water! Just in time for Physio,so low? No,negative
2003,f0bb64692f,"Wishing it was a sunny day, then I might just be bothered to get outta bed! ..up the blues",up the blues,negative
2004,31098bb260,wishes he had realized his wife hadn`t held onto the debit card before he took a long walk to get lunch and not after.  GRRR!,his wife hadn`t held onto the debit card be,negative
2008,35a2e01940,school and the guy i like was talking to the girl i cant stand at all!!  ppl are just sooo...ughhhh!!,.ughhhh!,negative
2011,67b3d27ebf, he`ll be 3 in july! I`m just soo stoked!!!!  Especially since he sleeps with us LOL  He refuses to wear diapers anymore,o stoked!,positive
2023,9f56c796d9," ah its getting there  still a fair bit to go, but it`s coming together fairly well! aw  where are you from?",er fairly well!,positive
2054,dd033a838d,"'They say I look yummy & they want a taste, but I`m a human not a sandwich.' LMFAO makes me",They say I look yummy,positive
2056,9fda61503d, no panasonic charger.sorry,.sorry,negative
2065,99fb8ae709, My windows open and its not that cold ahahah,d its not that cold ahahah,positive
2068,7aeef04698,My favourite photo (that I took) from last night: http://tinyurl.com/oto5sz can`t wait to see `s pics,favourite photo (t,positive
2083,e4bf91468f,"_xox  Oh god, everyone`s dying.  But it`s mainly justin depressing me",n depressing,negative
2086,8ea6edf6c7," i know, and we gotta wait until earl 2010, i think or very late 2009! its just wrong",", i think or very late 2009! its just wrong",negative
2094,f0d4626bab,watching Jon & Kate plus 8..can`t believe they`re divorcing,can`t believe they`re divorcing,negative
2106,8aed647dce, :: I know the feeling  Its a little depressing :S,e feeling  Its a little depressing,negative
2113,7e260b1f13,  man i wont be home to co host with you!  xo*blair,n i wont be home to co host with you!,negative
2124,a15be8b169, lmfaaoooo i just watched the Pink video....you know me to well i love it...soooo me lol,.you know me to well i love it...soooo me lol,positive
2125,a27e6d1054," lol - that`s what hubby`s are there for, to think their wives are nuts.",", to think their wives are nuts.",negative
2136,cc4a151d1d,"ï¿½anisalovesu me too. I am so so upset,especially because i fear i won`t get a Jared hug tomorrow","lovesu me too. I am so so upset,especially because i fear i won`t get a Jared hug tomorrow",neutral
2139,6d392e7d08,  I guess you are not interested !!,e not interested,negative
2145,1f14f8f9f8,just got back from my grandparents suprise 60th anniversary party...it was sooooo much fun!!!,it was sooooo much fun!!!,positive
2168,92a3fdbf42,  o sweet i saw him last year with kenny & sugarland will be with kenny this year.. i have seen them b4... love them.. gknight,. love them,positive
2180,855dc31191, if you`ve ever seen the way  uses his browser he probably has like 5 copies of it running.   http://bit.ly/1doEEj,if you`ve ever seen the way  uses his browser he probably has like 5 copies of it running.   http://bit.ly/1doE,neutral
2181,f1d7662793,Trying to go to sleep but no luck  I think i`m sick... =S,but no luck  I think i`m sick.,negative
2187,fd0e1afe7b,New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,Failed on first day.  Twic,negative
2210,6b04f2321a," FML dad didnt leave me any moneyz, so i have 2 wait till he gets home   call me when you finish work?","FML dad didnt leave me any moneyz, so i have 2 wait till he gets home   call me when you finish work",neutral
2213,70237730b5,Officially out of my apt  Learned some stuff about the crazy neighbors that used to live across the hall....scary!,.scary!,negative
2225,f5d996191d,  Thank you so much. That was so nice of you and I was happy to hear you voice  You`ve really started something Good!! xo,d I was happy to hear you voice  You`ve really started something Good!,positive
