,textID,text,sentiment,selected_text
72,474d10ff48, TGIF is right...I think I broke my toe last night - on my bad foot.,neutral, TGIF is right...I think I broke my toe last night - on my bad foot.
73,38e69da3a1," Oherr it`s soon then, do you have plans? I had a party on saturday  x",neutral," Oherr it`s soon then, do you have plans? I had a party on saturday x"
74,972dc5787d,_LaMont yr very young looking dude,positive, yr very young looking dude
75,0ba6aaf9aa,": hmmm, wrong link, ignore my tweet",negative," wrong link, ignore my tweet"
76,7a81537034,AT&T cheated the system and now I have no Green Day tickets  **** you AT&T!,negative, cheated
77,311d2b185b,Tracy and Berwick breaks my achy breaky heart  They split ways in the hallways.,negative, breaks my achy breaky heart
78,1e46d72ec6," yep, i wish they were all playing dubiln",positive, wish
79,390f169584, im a lady and ladies don`t move couches. they direct where the couches go,neutral, im a lady and ladies don`t move couches. they direct where the couches go
80,58129e4130, Yay for Block Party!  You`re the BOMB! Blockheads <3 Dave!   Thanks for supporting NKOTB!,positive, Thanks
81,e6c9e5e3ab, 26th February,neutral, 26th February
82,cb5e709de8,Guess what? mom adopted a kitty today (11 months) His name is Corky,neutral, Guess what? mom adopted a kitty today (11 months) His name is Corky
83,a14b4ff440,Happy Birthday Snickers!!!! ? I hope you have the best day ever! Let`s go shopping!!!,positive, Happy Birthday Snickers!!!! ? I hope you have the best day ever!
84,5d57a5eda2, Thank you!  I`m working on `s,positive, Thank you!
85,1e3561e921, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time,neutral, lol man i got 2 1 /2 hrs an iont how i woulda made it wit out my ramen noodles and t.v. Time
86,c2ea5cb58b,Not feeling all that well today,negative, Not feeling all that well today
87,cde0016d6d,"http://twitpic.com/4wp8s - My ear hurts, and THIS is my medicine. GUM",negative," hurts,"
88,5fc411e8d1,_berland LMAO I know I know,neutral, _berland LMAO I know I know
89,5ffb19ae8f,Gnight shar   <(` `<)Vega(>` `)>,neutral, Gnight shar <(` `<)Vega(>` `)>
90,76da985a47,The underwire in my bra is sticking out and poking me in the armpit,negative, The underwire in my bra is sticking out and poking me in the armpit
91,3a98aa4762,Happy Mothers Day!!!,positive, Happy Mothers Day!!!
92,886545bbab,"Yes, I am",neutral," Yes, I am"
93,2afe118dc3, I can`t call Mitch!  Im from sweden!,neutral, I can`t call Mitch! Im from sweden!
94,704c53f4cf,Happy star wars day! May the fourth be with you,positive, Happy
95,71fa60d9ff,was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet,neutral, was so excited to eat the wartermelon i bought the other day and it was terrible and not sweet
96,c238c4dbb7,i just watched Marley & Me...i cried so hard!,negative,i cried so hard!
97,dc73e85417,Take antibacterial to school to clean your hands when you cant go the loos,neutral, Take antibacterial to school to clean your hands when you cant go the loos
98,af63915fa9,I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.,neutral, I`m leaving work now. Trying to decide if I return on Sunday afternoon or Monday 4 am to meet a noon (UK time) deadline.
99,eb2fc4d281, haaaw..well i get out of class at 10:50..i hope i make it,positive,i hope
100,f9382a1f7b,"oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain.  /vent",neutral," oooh, sunshine! A patch of sunshine! And it will be gone by the time I leave work and replaced with rain. /vent"
101,54670ca807,skype call with billie but my webcam dont work,neutral, skype call with billie but my webcam dont work
102,3ab338c459,"Just had a great study time followed by a delicious Japanese meal with Arty! Now, trying to get back into the study mood",positive, great
103,c7c7f7f025,FML not having a car is prohibiting finding a job,negative, prohibiting
104,1256e6a4d2,"  lol since I got twitter a little while ago, it seems like loads of people setting up an account",neutral," lol since I got twitter a little while ago, it seems like loads of people setting up an account"
105,990cdeae87, I want to see David cook!!,positive, I want to see David cook!!
106,9a55d83c79, yeh me 2,neutral, yeh me 2
107,c8307a482d, learning tat the scenic way  din plan to go town but somehow was herded there?,neutral, learning tat the scenic way din plan to go town but somehow was herded there?
108,0a21b662a4," i don`t want to do anything specific, i just want to see you and puppy!",neutral," i don`t want to do anything specific, i just want to see you and puppy!"
109,297f7d9e0f, yeah i need his fricken cell number ive tried his home for months and hes too busy. i miss braddddddddd,negative, i miss
110,68901906a4,Toy Story 3 trailer premiered with Up. I need my computer back.,neutral, Toy Story 3 trailer premiered with Up. I need my computer back.
111,3112944847,ughh on the phone with HP!,neutral, ughh on the phone with HP!
112,8f8334ffa2,And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart',neutral, And- hand made by Dan & Jenn -sock blockers ... made from exotic woods ... one of which is called 'purple heart'
113,322546026e, yay about breaking 200!,positive, yay
114,e6c154f9be, bahah sadly I am not,negative, sadly
115,e96d849b35, i always have those for my Champions League parties  Tis awesome,positive, awesome
116,124e30d941," well, not all. just stay away from those kinds and surround yourself with those who don`t. happy mother`s day to ur mom, treiz!",positive, happy
117,fbb5742bbb,_Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..,neutral, _Adel they didn`t reply yet.. wait till they confirm.. in case somebody might have translated it already..
118,e90acf3c42, thats rough. hubby had knee surgery but it did help him in the end. Let us know the results. We`ll keep him in our prayers,negative, thats rough.
119,0b0944285d,might have to go back much earlier than expected. bye bye bay area,neutral, might have to go back much earlier than expected. bye bye bay area
120,a11da2d3bf,"Playin City of Villains, wishin my buddies were playin with me.....",positive, wishin
121,161bfc7c8a," yep - three things: a good haircut, the ability to listen and the value of not taking yourself too seriously",positive, good
122,4a65010643, riley hacked my twitter!  hahaha :],neutral, riley hacked my twitter! hahaha :]
123,1b460c82f0,Big Sad Face   Bing doesn`t work on iPhone.  It just takes you to the regular mobile Live search.,neutral, Big Sad Face Bing doesn`t work on iPhone. It just takes you to the regular mobile Live search.
124,43e91a5488, I liked it.  Did you record it yourself?  If so you have a very soothing voice.,positive, I liked it.
125,410dd99aa3,man im so sad school is ending  but then again high school might be better :O,neutral, man im so sad school is ending but then again high school might be better :O
126,b3eadfc565," Folks thought it was hilarious when I told them the story, and then they saw the shirt I wore tonight.  Laughter all night.",positive, hilarious
127,480894125b, you`re the absoute best,positive, best
128,001617fca4,oh my god!!! i cried so much!!! watch this guys from BGT  http://bit.ly/5t5Xz,neutral, oh my god!!! i cried so much!!! watch this guys from BGT http://bit.ly/5t5Xz
129,52f2f23473,My near daily exercise is starting to show results.,neutral, My near daily exercise is starting to show results.
130,e7e27b0c91, Welcome!,positive, Welcome!
131,834dc73c0c,Bout to hit pmark then make one of my final meals wit the housemates..,neutral, Bout to hit pmark then make one of my final meals wit the housemates..
132,aeb0e9d730,: you get to go home and i have to go to work,neutral, : you get to go home and i have to go to work
133,c672c9da1d,voted for  on CMT.com,neutral, voted for on CMT.com
134,cbee1946d3,"just got home from a nice party, just not tired yet",positive, nice
135,b1999f0951,Now I have a sunburn,negative, sunburn
136,25510fbf89,I have the Job  this is a nice day it can not be better,positive, nice
137,bcb9426abb,I wish I could go to #BEA this weekend.,positive, wish
138,0d29624200,"I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him  But im certain he doesnt feel the same so its not worth telling him",neutral," I <3 Rupert Grint......& of the boy, Ive accepted tht I do fancy him But im certain he doesnt feel the same so its not worth telling him"
139,3f0f5891ab, love your books,positive, love your books
140,0b34e66ea3,ok so this eye doctor guy is taking forever and i`m sitting in a cold room by myself...what? A jerk!,negative, jerk!
141,11de8c0456,Im Slowing on My Tweets..Cuase I Lost My Phone,negative, Im Slowing on My Tweets..Cuase I Lost My Phone
142,d5712716e9, well thank your phone for me.,positive, thank
143,3f90f95beb, why would they take a photo with stuffed animals?! that`s pretty funny,positive, that`s pretty funny
144,c108e09b19,TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak,neutral, TweetDeck is acting really strange! Hum........ reinstall maybe. Update on the horizon? Or is it just another Adobe memory leak
145,7223fdccc2,tikcets are only ï¿½91...each...BUT I SO WANT TO GO,positive, I SO WANT TO GO
146,f254748cdb, Happy Mothers Day,positive, Happy
147,256453d14f, It`s gonna be hot here today too. today is Ryan`s last day of pre-k. I can`t believe it!  I`ve been a SAHM since I had him!,negative, I can`t believe it!
148,8fd01857a9,is dreaming of the weekend... awake!,neutral, is dreaming of the weekend... awake!
149,37227c0dbf,"Oh, **** me. I`ve just returned from the Supermarket Of Doom to find that I have nothing to drink here.",negative, **** me.
150,20aff2fcb1, yay but you missed naptime,neutral, yay but you missed naptime
151,ca223af36e,"D-group Saturday`s, with a little bit of football, an hour nap, 3 hours of soccer, basketball in the TSU and Yogurtland... Life`s Good",positive, Life`s Good
152,90977e9614,just set up a new computer again. 15min. I love Norton Ghost.,positive, I love
153,433b1ab9ea,Ahhh my mommie got me new sheets for my bed  so comfy,positive, comfy
154,37771d1bc1,_celeste  finally some sleep in silence,neutral, _celeste finally some sleep in silence
155,fa99046452,im just up :-| and its 12:43 :O  im so lazy thank god its a bank holiday,neutral, im just up :-| and its 12:43 :O im so lazy thank god its a bank holiday
156,14760477ad,is pretty dang tired. but chambers class is for napping.,negative, tired.
157,da908a6635,i have to poop...   is hogging the shitter,negative, i have to poop...
158,2053a455e9,YES! Im down to 50% full on my dvr  i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv,neutral, YES! Im down to 50% full on my dvr i was at 98% like 3 days ago... lol I swear if I didnt have a dvr I would never watch tv
159,1ea547383b,Happy muthath`s day to all moms!!! I salute you!,positive, Happy muthath`s day to all moms!!! I salute you!
160,6634c62acf,Hahaha! Alright  ..,positive, Hahaha! Alright
161,c7240790da, Aren`t you suppossed to support the local economy ... LOL ... good for you and congrats,positive, good for you and congrats
162,08ede23635, good to know   thanks,positive, good to know thanks
163,4e87dcff0e, what are you? flavor of the day?,neutral, what are you? flavor of the day?
164,4b0b53bc98,weathers let me down this morning...ugh!...hada gd nite tho!,neutral, weathers let me down this morning...ugh!...hada gd nite tho!
165,fd3a622954,Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0  #postrock,neutral, Just listened to condre scr and got an invitation to watch their live concert on June 20th in Munich http://bit.ly/DAXA0 #postrock
166,e34af4fd97," E.L.O.  wow, brings back so many happy memories.  LOVE this band!..and yes, I know I`m showing my age but I don`t care",positive, happy
167,0e8aa10a4e, that`s a very cute picture ... but you don`t get fat from licking BBQs ... he must have found some chops on someone else`s ...,positive, cute
168,29148dc95c, oh i love sunday mornings like this - mum just made scrambled eggs on toast,positive, love
169,56a15cf6ca,"hate working when its sunny,boohoo",negative, hate
170,b99969c2fb,is ONLiNE  http://plurk.com/p/stjdg,neutral, is ONLiNE http://plurk.com/p/stjdg
171,b0f3142cb4,bundy. in 3 days.!!!! warm weather here i come!,neutral, bundy. in 3 days.!!!! warm weather here i come!
172,5ff525b74b,Wondering if i cld make things any worse than they already are... answer.. JUST DID!!!,negative, worse
173,4fd80e66e0,a Dutch marketing agency is asking job applicants to apply in 140 characters or less  http://www.energize.nl/twillicitatie/,neutral, a Dutch marketing agency is asking job applicants to apply in 140 characters or less http://www.energize.nl/twillicitatie/
174,e77a8f8f2d,Twitter has spoiled all the fun. Frustratingly slow!!  couldnt even bid properly!,negative, Frustratingly slow!!
175,4ea7102112,_chick haha. I completely agree,positive, I completely agree
176,6a14956779,"If we don`t pack, she can`t leave, right?",neutral," If we don`t pack, she can`t leave, right?"
177,7c2fcb712e, ****  lol....where u headed to?,neutral, **** lol....where u headed to?
178,cdd172d6a7,Going to bed after a great night with a friend  glad to know she has the same feelings about classes as someone else,positive, glad
179,d2a21b3cb7," many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative, missed
180,799e17e7a7,it`s nice to leave the office when the sun is still up,positive, nice
181,0a49cdbdf6,I will miss the soccer moms,negative, miss
182,4a13c1093d," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny",neutral," between the Garlic Pills, the Spider bite between your toe (LOL-Classic) and you always being hungry. U are killing me 2 funny"
183,9407ce6ccc, *sighs* Ah well.  Maybe my second email will clear it up and get him approved.,neutral, *sighs* Ah well. Maybe my second email will clear it up and get him approved.
184,820f19ca44,"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral," Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!! ****"
185,683bb73c09, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary,neutral, --that came to my mind. So I said it. And it has now been adapted into my family`s vocabulary
186,0d14593b11,looking forward to body works today,neutral, looking forward to body works today
187,9ac13b3739,just watched yes man. bahaha. that movie is messed up,negative, messed up
188,16ee71e6df, Sadly I think I know exactly were you put it--in the expired drawer   Those things have a life span of less than two years,negative, Sadly
189,f5d47f04f5," Too much? No, not unless one of the pillows ends up suffocating the one sleeping next to you.",negative, suffocating
190,e131c496a2,Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,neutral, Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon
191,bc6d7b4364,Wow that was fast...next up Soderling or Ferrer. Gilles Simon lost,negative, lost
192,c87be630b5, Yup theory is GREAT but the reality is beyond imagination...  I also made the same planning not knowing VS will FAIL on me,neutral, Yup theory is GREAT but the reality is beyond imagination... I also made the same planning not knowing VS will FAIL on me
193,e4ad1684bb, glad to know that the ad display problem was due to a firewall config at yr office. phew!,positive, glad
194,f7835156a5, woot!,positive, woot!
195,03bb148b87,"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral," 'I don`t like Monday, i wish it were sunday, cause that`s my fun day.' that was my freaking jam when i was little. i miss it."
196,b47c430fda, ???    ?????? - http://bit.ly/nAcK2,neutral, ??? ?????? - http://bit.ly/nAcK2
197,0234e16010,"Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!",neutral," Waiting for the last movie to finish then am test screening Ghost of Girlfriends Past, glass of wine and lolly bag in hand, yay!"
198,be9ed19513,Happy #StarWarsDay. May the 4th be with you!  From everyone _paintball,positive, Happy
199,bf7240df91,Must head back to the office,neutral, Must head back to the office
200,2f883c6eb1,St joe is dirty.,negative, dirty.
201,a1320a5050,http://twitpic.com/4w67k - Camping at black butte lake,neutral, http://twitpic.com/4w67k - Camping at black butte lake
202,d72a60bee8," are you getting my messages or do you have to add me to recieve them, soz I`m new to this",neutral," are you getting my messages or do you have to add me to recieve them, soz I`m new to this"
203,bc9ebe0002,I hate my life,negative, I hate my life
204,64ddc1f8a2,sick to my stomach.. and i have a headache.. i wish someone could come rub my temples.,negative, sick
205,03f6b8d900, ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative, ****!
206,2d475b1b23,just thought about how unfair 3 ppl have been 2 me n got depressed again  HATERS!!!,negative, depressed
207,87473f5175,crying real tears,negative, crying real tears
208,7a09871d21,_Brown been holding onto this one for a while  http://twitpic.com/4w5eh,neutral, _Brown been holding onto this one for a while http://twitpic.com/4w5eh
209,96ec2855e4, Panchito`s burfday party tonight... wish you were here kiddo!,positive, wish
210,45cf9ba329,Back from town and my Mac crashed on me  but it`s better now,neutral, Back from town and my Mac crashed on me but it`s better now
211,bab68144cd,ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?,neutral, ARCHIE ANDREWS WHAT WERE YOU THINKING?! veronica?
212,fc49e426f5,the best things in life are free  x,positive, best
213,a172818c9e,misses my Mom today. She was my Best Friend and even though she has been gone several yrs I still miss her dearly. Happy Mother`s Day,positive, Happy Mother`s Day
214,036191bb61,I am watching Blood + on veoh episode 19 love the music.wishing i could watch the live action but not old enough,negative,wishing i could watch the live action but not old enough
215,3ef85c201c, that is a bummer,negative, bummer
216,ea348ea738, He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral, He is the truth! But what about Maxwell? You can`t forget the future father of my children!
217,fd10f463c9,http://twitpic.com/665jw The racoons ate our bread!,negative, The racoons ate our bread!
218,e6e02e1be6,Be sure to let the moms you know how fabulous you think they are!!   Almost Mother`s Day.,positive, fabulous
219,8112c62d00,"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral," _in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back."
220,0f89951346,No launch today. Teacher changed plans and we watched a stupid move about tesla,negative, stupid
221,f3ec0395b0,  it`s very pleasant. i sooo rarely just have time to kill...,positive, it`s very pleasant.
222,37ffa83550, thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!,positive, thank you!! ooh I see you`ve read Desert Islands http://is.gd/ys6K great book!
223,cb8c730261,__O lol but tiz a good song,positive, good
224,be33b5cb9a,Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time   Will keep going,neutral, Again working on the internet shop ... don`t think we will achieve the goal of uploading by the previously set time Will keep going
225,4fed31099f,"@_Anix_ I bought cheesecake ice cream last week, thinking it was good, and it sucked so much.   I`m taking yours.",negative, sucked
226,de288eb45b, what causes the frustration buddy?,neutral, what causes the frustration buddy?
227,7ab82d9fda,_Wright THANK YOU! 'Return of the Mack' is THE jam!,positive, THANK YOU!
228,9d8a45d308,Ready for this saddenning depressing dullful upsetting dreadful weekend.,negative, saddenning depressing
229,d25c4179f6,sorry for my lack of tweets  ive been buzy. new vid this saturday!!,negative, sorry
230,6cd35dd82e," I do my humble best  Going on a works paintball day soon so that should fuel a few strips, no doubt",positive, best
231,65275b51e2,going to bed  cant take thiss any longeerr maan. [U],negative, going to bed cant take thiss
232,9fae9e3145,_Morden ..be at richard`s. if not then i`ll see you when you/we get back  good luck!,positive, good luck!
233,e515132ae4, Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done,neutral, Thanks...I really do appreciate that. I know it will be the hardest thing I have ever done
234,df3c7485ae,Spent the last hour signing yearbooks. I`ll miss you guys!,negative, I`ll miss
235,bd8ba2ad7e,And I just love every little thing about you...,positive, love
236,58be40735c,My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative, Stoooopid thing
237,b5a0a16fd7," Hi Simon, let me know when it`s done",neutral," Hi Simon, let me know when it`s done"
238,044f146e5c,Had an amazing night with my favorite lady friend,positive, amazing
239,a8e17db0cc,_Oyler Poor little woman with her smushed in head,negative, Poor little woman with her smushed in head
240,abda0ac082,is fixin to clean the house for my mom for mother`s day,positive, is fixin to clean the house for my mom for mother`s day
241,b01506af48,"Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!",neutral," Why do you think people say, 'save the drama fo yo mama?' I`m sure even yo mama wouldn`t wanna listen to ur drama. Ode to mother`s day!"
242,53969f2468, Hey! That`s my school! I hate that place.,negative, I hate that place.
243,4df63939ef, i did i only got 3 stars on the pre wash then failed the rince,negative, failed
244,f43efa3560,MY SiSTER iN LAW JUST LEFT FOR HER PROM!! SHE LOOKED SOO PRETTY.. TEARS ALL AROUND,positive, SHE LOOKED SOO PRETTY..
245,c89e41fc7c, follow me too,neutral, follow me too
246,b9ec075666,bought three books!! yipee!!  now who`s with me on that read-ten-books-during-the-summer thing?,neutral, bought three books!! yipee!! now who`s with me on that read-ten-books-during-the-summer thing?
247,ca333e378d,I`m really bored! My brother went to get his permit! Stay off the roads! Jk lol! It feels like all my friends have abandoned me! Except 1,negative, I`m really bored!
248,5a91b175f6,", goodnight",positive, goodnight
249,ac00adda49,"_The_Moon Hiya hun! It`s just not my day. Dentist appointment (ouch!),notebook being a ****. Feeling sick  How`s you?",negative, Feeling sick
250,cf9dc7479a," but i do emily ahahha you scare me, so it would work",negative, scare
251,005e2e60d3,Now I need to change my monitor,neutral, Now I need to change my monitor
252,0b1fad03e9," I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL.  Haven`t been online much",neutral," I know dude, i`m doing re-runs, making Jenny watch them now too so we can have conversations LOL. Haven`t been online much"
253,2c72a5582a,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,neutral, WHAT ABOUT ME ?? I VOTE EVERY DAY FOR YOU !!!!!
254,af0778ed50,should not have waled past the Quad! I want to be outside having fun.,positive, having fun.
255,1e0416ec46,"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL",neutral," just rocked home from maccas, and now signing a petition for big bang to tour aus LOL"
